position,source_kind,video_id,title,url,duration_seconds,duration
1,video,lVflgFmmxfA,Пейзаж в Blender 5.2 с нуля! | Добавление растений,https://www.youtube.com/watch?v=lVflgFmmxfA,1528.0,25:28
2,video,99lAzxKeV9c,Обновления Blender 5.2 | Новая симуляция,https://www.youtube.com/watch?v=99lAzxKeV9c,639.0,10:39
3,video,WfF-W8WqDqY,Запекание в Blender ПРОСТО! | Основы процедурных материалов,https://www.youtube.com/watch?v=WfF-W8WqDqY,865.0,14:25
4,video,T_MlDrVk1m8,Обновления Blender 5.1 | Новые вершины,https://www.youtube.com/watch?v=T_MlDrVk1m8,485.0,08:05
5,video,59HavvH5H_8,Игрушка Hornet в Blender | Уроки для начинающих,https://www.youtube.com/watch?v=59HavvH5H_8,1462.0,24:22
6,video,v0KOSJrnltU,Обновления Blender 5.0 | Новый рубеж,https://www.youtube.com/watch?v=v0KOSJrnltU,681.0,11:21
7,video,kGblQk16MY0,Фатальные ошибки новичков в Blender | Полная версия,https://www.youtube.com/watch?v=kGblQk16MY0,1016.0,16:56
8,video,diQZpgDNKhg,Плюшевый олень в Blender | Уроки для начинающих,https://www.youtube.com/watch?v=diQZpgDNKhg,989.0,16:29
9,video,O8W6oAZG6LU,"Как легко анимировать все в Blender, используя Shape Keys",https://www.youtube.com/watch?v=O8W6oAZG6LU,901.0,15:01
10,video,hA1--jm52dM,Обновления Blender 4.5 | Обзор всех функций,https://www.youtube.com/watch?v=hA1--jm52dM,392.0,06:32
11,video,6GLHDS2vRd0,Тайна мастерской | Мульт в Blender,https://www.youtube.com/watch?v=6GLHDS2vRd0,69.0,01:09
12,video,5DHDe23K6Fw,Поясняю за камеру в Blender 3D | Топ 8 крутых фишек!,https://www.youtube.com/watch?v=5DHDe23K6Fw,762.0,12:42
13,video,zo7uEXdoH2Q,Самый точный 3D Трекинг в Blender ПРОСТО! | Новый способ,https://www.youtube.com/watch?v=zo7uEXdoH2Q,828.0,13:48
14,video,3xK18Su0LzM,Игровая модель гранаты Red Bull в Blender с нуля! | Запекание,https://www.youtube.com/watch?v=3xK18Su0LzM,3811.0,01:03:31
15,video,dg8K1-IN1Jo,Урок по 3D для начинающих в Blender - Комната с рабочим местом (изометрия),https://www.youtube.com/watch?v=dg8K1-IN1Jo,2249.0,37:29
16,video,5cH_GWLoS4M,Обновлении Blender 4.4 | Что нового?,https://www.youtube.com/watch?v=5cH_GWLoS4M,361.0,06:01
17,video,pdUO34s1BZs,Blender 1.0 - Каким он был? Обзор всех версий самой популярной программы для 3D моделирования,https://www.youtube.com/watch?v=pdUO34s1BZs,608.0,10:08
18,video,TY78w-UwBfk,Риг и анимации авто в Blender | RBC + Rig a car,https://www.youtube.com/watch?v=TY78w-UwBfk,793.0,13:13
19,video,p--JWcnPLYU,Моделирование авто в Blender | Porsche Cayman 718,https://www.youtube.com/watch?v=p--JWcnPLYU,38.0,00:38
20,video,UPrLOsq2sO0,Стилизованный рендер в Blender | Создание шейдеров,https://www.youtube.com/watch?v=UPrLOsq2sO0,1403.0,23:23
21,video,id0CIaa5pFQ,Комната в изометрии | Уроки для начинающих в Blender,https://www.youtube.com/watch?v=id0CIaa5pFQ,1320.0,22:00
22,video,fNZxLaSbWPg,ТОП аддонов для Blender | Уроки по Blender,https://www.youtube.com/watch?v=fNZxLaSbWPg,660.0,11:00
23,video,MquvWMNAjpo,Обновление BLENDER 4.3 | Обзор новых фишек,https://www.youtube.com/watch?v=MquvWMNAjpo,522.0,08:42
24,video,MKXq00mBwY8,Интерьер спальни в Blender просто!,https://www.youtube.com/watch?v=MKXq00mBwY8,2842.0,47:22
25,video,_lBD0a385vw,Пейзаж в Blender с нуля! | Растения в блендер,https://www.youtube.com/watch?v=_lBD0a385vw,1645.0,27:25
26,video,_uhF3s9H6L4,3D Трекинг лица в Blender! | GeoTracker | Трекинг видео,https://www.youtube.com/watch?v=_uhF3s9H6L4,1156.0,19:16
27,video,BWT83uzCe34,3D Сканирование ПРОСТО! | Запечка в BLENDER,https://www.youtube.com/watch?v=BWT83uzCe34,752.0,12:32
28,video,1FvBi03Lp40,BLENDER 4.2 | Обзор функций и нового рендера!,https://www.youtube.com/watch?v=1FvBi03Lp40,424.0,07:04
29,video,OmqtNJREy80,Реалистичная вода и капли в BLENDER ПРОСТО! | Набор аддонов,https://www.youtube.com/watch?v=OmqtNJREy80,999.0,16:39
30,video,4Txc9qQ0UeE,Трекинг в Blender ОЧЕНЬ ПРОСТО! | GeoTracker | Трекинг вертикального видео,https://www.youtube.com/watch?v=4Txc9qQ0UeE,1675.0,27:55
31,video,qxtmJbDLDUQ,Текстурить шины в Blender ПРОСТО! | Tyre in Blender,https://www.youtube.com/watch?v=qxtmJbDLDUQ,1032.0,17:12
32,video,Tp2d-nDZ2lw,Гэри в BLENDER за 1 МИНУТУ и 1 ЧАС,https://www.youtube.com/watch?v=Tp2d-nDZ2lw,372.0,06:12
33,video,QrXsUw6y5YM,3D Трекинг в Blender ПРОСТО! | GeoTracker | Трекинг по видео,https://www.youtube.com/watch?v=QrXsUw6y5YM,1113.0,18:33
34,video,g65crfy9jWk,Добавление растений на сцену в BLENDER 3D | Аддон Gscatter,https://www.youtube.com/watch?v=g65crfy9jWk,381.0,06:21
35,video,LGcIQky9ftc,3D модели на фотографиях в Blender | Размещение 3д моделей,https://www.youtube.com/watch?v=LGcIQky9ftc,431.0,07:11
36,video,SEz2ynPfdsY,Горох за 1 МИНУТУ / 10 МИНУТ / 1 ЧАС В BLENDER 3D,https://www.youtube.com/watch?v=SEz2ynPfdsY,314.0,05:14
37,video,fJOgMvhHMb8,3D Трекинг в Blender и After Effects | Трекинг по видео,https://www.youtube.com/watch?v=fJOgMvhHMb8,713.0,11:53
38,video,8_oRBFeHjFc,Гайд по риггингу ( rigacar ) и анимации автомобилей в BLENDER,https://www.youtube.com/watch?v=8_oRBFeHjFc,719.0,11:59
39,video,m6UTEa9jw9I,Наклейки в Blender 3D просто и быстро!,https://www.youtube.com/watch?v=m6UTEa9jw9I,293.0,04:53
40,video,eJWJwrELsvI,Создание дома и снега в BLENDER за 33 мин для начинающих,https://www.youtube.com/watch?v=eJWJwrELsvI,2019.0,33:39
1,short,5tvJso63hbs,Чиним Blender новыми аддонами #blender #addons,https://www.youtube.com/watch?v=5tvJso63hbs,0.0,00:00
